rating,date,content,Extreme_score,review_vector
5.0,2019-10-18,"its not really a review but my attempt to explain how i interpreted the movie to those who complain that the film is overrated especially if the reason is that they didnt like the second half of it

its much easier to understand the message of a movie when the good guys win or the bad guys get punished in the end im not saying that all hollywood films are so naive in their portrayal of moral values but still i believe that parasite is much more subtle than most other movies that people are accustomed to watching in which theres a character with a clearer moral center whom audiences can easily relate to so i think its no surprise if the message of this film had failed to register for some of the audiences

some complained that they dont understand kitaeks motive for killing mr park but to fully appreciate this you need to understand the meaning of a recurring expression in the dialogue which is crossing the line

its a deliberately ambiguous phrase that can either read as one should respect other peoples privacy or as one should mind ones own social position instead of meddling with the affairs of those in a different position if interpreted as the latter meaning it can serve as another image that emphasizes the subject matter of the narrative along with more easy to notice the metaphor of the two families respective dwellings

it would probably have satisfied such audiences who expected more lighthearted drama if the movie focused on an underprivileged but more likable family exploiting a cold hearted snobbish family in a comical manner but the movie would have lost all its genuine charms if bong joonho chose such a path and he is too good a director not to see such a danger

instead he chose to make mr park a reasonable enough character despite his occasional hints that reveal his true nature",11400.0,"[ 0.04053201  0.05062184  0.00044575  0.00330104 -0.00830338  0.01060164
  0.01084967  0.00968293 -0.01879912  0.00224944 -0.01906654 -0.01460359
  0.00399488 -0.00358788 -0.00605324  0.00612779 -0.0011149   0.001659
 -0.00234861  0.00109408 -0.00383737 -0.00830416 -0.00351774 -0.00014085
  0.00511674  0.00443268  0.00135558  0.00379158 -0.00248893 -0.0026342
  0.00782875 -0.00274132  0.00602368 -0.00106518  0.0046593  -0.006504
  0.0003866   0.00453392  0.00045349 -0.00743545 -0.00515402  0.00030817
  0.00335042  0.00440026 -0.00358909 -0.00389301 -0.00328397  0.00183075
  0.00132479  0.00319278 -0.00514348 -0.00433322  0.00080389  0.00212373
  0.00374087  0.0030888  -0.00185538 -0.00290144  0.00388788 -0.0014904
 -0.00440535 -0.0016361   0.00435278 -0.00470381 -0.00101992  0.0023066
  0.00190684 -0.00028284  0.00162855 -0.00923297 -0.00416826 -0.00135343
 -0.00307055  0.00079208  0.00099398 -0.00424107 -0.00018543 -0.00377606
 -0.00423644  0.00186846 -0.00169651  0.00340177  0.00757157  0.00193019
  0.00459977 -0.00185075 -0.00052187  0.00182893  0.01207975 -0.00126203
  0.0013561   0.00151897  0.00054203  0.00118818 -0.00429963  0.00028173
  0.00017704 -0.00126219  0.0073727   0.00020696]"
5.0,2019-07-05,"i am remarkably stingy with my 1010 ratings ill be the first person to acknowledge this of the roughly 2600 titles ive rated on here only 34 have a 10 parasite is one of them if this isnt a masterpiece then i dont know what is

im going to keep it vague on the plotfront because i didnt know anything about it going in and was really excited to see it progress and unfold in satisfying unexpected ways

what i will say is that this film more than just about any other ive seen put me through so many different emotional states during its 132minute runtime and did so without ever feeling muddled or tonally inconsistent parts of this movie were hilarious parts were heartbreaking other parts were insanely suspenseful im honestly not sure if ive felt this close to the edge of my seat since the final season of breaking bad way back in 2013

and it does all this while being perfectly paced beautifully directed and amazingly acted from every single member of its cast all the characters are understandable and sympathetic to some degree the amount of conflict drama and tension derived from a narrative with no clear heroes and villains is staggering you come to care for just about all of them

im stumped to come up with any flaws for this movie and sure ive seen many movies that are hard to fault but its rare that a movie appeals to me on a gut level and excites me to this degree while also being so close to technically perfect its extremely entertaining thoroughly moving in so many different ways and as icing on the cake theres a ton of social commentary and some heavy themes to chew on once the movies over and this ones not going to leave my head for a while i can tell

catch this one when you can and believe the hype joonho bong has made many great films and so far no bad ones but this even manages to stand head and shoulders above all the others",11656.25,"[ 4.0902700e-02  4.9013827e-02 -9.5496261e-03  2.4508529e-03
 -2.3773143e-03  4.7381944e-03  7.2120805e-03  8.2533881e-03
 -1.7932605e-02 -2.8847011e-03 -1.5644623e-02 -9.4527956e-03
  7.0621395e-03  1.0284849e-03 -6.1259391e-03 -5.9353950e-04
  3.5613864e-03 -1.8645704e-04 -7.7005131e-03  1.7527364e-03
 -7.8764709e-04 -5.9522869e-04  7.7379816e-03  4.6603633e-03
  5.8250842e-03 -1.6107544e-03 -1.2811751e-03 -3.3064687e-03
 -5.6289770e-03  5.9735291e-03  9.1345506e-03 -2.5536760e-03
  3.8606438e-03 -5.7433005e-03 -3.6652614e-03 -1.0262154e-03
  5.6422269e-03  3.4882056e-03  3.8332616e-03 -5.1477868e-03
 -6.0756327e-05  3.0466879e-03  9.2676666e-04  2.8404014e-03
  2.0766817e-04 -3.1618800e-03 -1.5050680e-03  6.1762785e-03
  1.8564356e-03  9.2460504e-03 -5.1164655e-03 -3.7486649e-03
  4.7695208e-03  4.4973642e-03 -6.1756751e-04  2.6757075e-03
  1.3799856e-03 -3.7444595e-04  6.7872828e-04 -1.4282833e-03
 -6.6595529e-03 -1.2106482e-03 -1.0887588e-03 -4.7489428e-03
 -2.3597435e-03 -4.9750218e-03  1.9342949e-03 -4.3467275e-04
  6.0021062e-03 -3.0324501e-03  3.2262837e-03  3.7122956e-03
 -4.5629181e-03 -6.0756034e-03 -4.3231561e-03  5.6555062e-03
 -1.1305868e-03  1.1088888e-03 -2.0470484e-03 -2.4935394e-03
  1.0628883e-03  1.0672600e-03  4.0135528e-03  6.4226561e-03
  1.7411761e-03 -4.0464869e-04  1.8988984e-03 -1.7132852e-04
  1.1885632e-02  9.1512880e-04 -1.4787654e-03  1.2314525e-03
  1.6585798e-03  2.0316516e-03 -2.9229934e-03 -2.2607716e-03
 -1.9143732e-03  2.3301255e-03  2.4253135e-03 -1.8819871e-03]"
4.0,2019-10-06,"i cant remember the last time i saw a movie that contained as many genres as parasite the movie starts out almost like an oceans eleven heist film and then expands into a comedy mystery thriller drama romance crime and even horror film it really did have everything and it was strikingly good at all of them too

i love a film that respects its audience there are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats there are a lot of layers to this film and i suspect for this reason its rewatchability factor will be very high

the film was incredibly entertaining too i cant think of a boring scene in this movie and yet on the surface for large parts of the film you would say not a lot is happening at least in terms of action fascinating characters and brilliant dialogue are what create this i had a great time with parasite and i think most that give it a chance will too",2243.25,"[ 4.3947604e-02  5.7459891e-02 -9.8668421e-03  5.2104127e-03
 -2.6134150e-03  8.7791914e-03  5.1141013e-03  6.4072828e-03
 -2.3749370e-02 -7.7733579e-03 -2.4416102e-02 -2.5488460e-03
  6.0405442e-03  9.6954941e-04 -7.5255875e-03  1.5588575e-03
  5.8870581e-03 -6.4553511e-03 -6.5090344e-03  3.1082458e-03
 -2.7848636e-03  3.1338392e-03  6.3334811e-03 -1.5882634e-03
  1.0745540e-02  4.4857645e-03 -1.6246247e-03  2.3043598e-03
 -4.1874587e-03  4.5213704e-03  2.5513875e-03 -5.4243580e-03
  3.7283034e-03  2.7786102e-03  4.6932325e-03 -3.1832566e-03
  3.8076711e-03  5.2560745e-03 -2.8027256e-04 -5.6836051e-03
  2.8925226e-03  2.1714186e-03 -4.5153362e-04  1.0275817e-02
 -2.0330737e-03 -5.0054449e-03  5.2481056e-03 -8.5733103e-04
  5.0230147e-03  1.4706037e-02 -2.1415460e-03 -2.1075341e-03
 -1.0683002e-03  5.5526569e-03 -1.6728227e-04 -2.1858930e-04
  6.1539267e-03 -9.7403128e-04  1.1874510e-03  4.2188112e-03
 -1.7721846e-03 -2.0492401e-03  8.7423306e-03 -4.1309660e-03
 -6.6639045e-03 -4.4972436e-03 -9.4419118e-04  1.1908890e-03
  6.8560807e-04 -7.5737168e-03 -3.7099505e-03  9.7654741e-03
 -3.9749886e-03 -1.0033710e-02 -4.2480174e-03 -1.6781788e-03
  2.4013908e-03 -7.8886031e-04 -1.6429895e-03  7.9985650e-04
  6.3380139e-04  2.6326510e-03  9.1680093e-03  8.9721400e-03
  3.6471894e-03  8.7960588e-04 -3.7420411e-03  7.7241845e-03
  8.3223367e-03 -2.7046124e-03  3.4601989e-03 -8.1561348e-06
 -3.7286254e-03  1.0174181e-03 -2.9490108e-04 -2.8483274e-03
 -5.3605428e-03  8.2113169e-04  2.0695841e-03 -1.8090527e-03]"
5.0,2019-08-25,"in a meritocracy success and fortune are reserved for those who deserve itthose who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination anyone can rise to the top and for some lucky cinderella plucked from the cinders and gussied up in gowns the meritocracy represents the heights of perfect egalitarian society i started with nothing and ended up with everything i ever desired you too can achieve you dreams if only you try

the promise of unobstructed sunshine at the top of the mountain becomes justification for bitter competition backstabbing deceit and callousness you climb the crooked ladder until you make it to the straight one and then perhaps when you at last feel secure you can afford to be kind and confident and generous its easy to be nice when youre rich the mother in this film jang hyejin at one point observes

but its a very long and very crooked ladder and sometimes the rungs give out beneath your grip and sometimes theyve been dangerously greased by those who climbed before you and sometimes the ladder itself is simply kicked downeither by those above you or just as often by those staring up from the ground below there are a lot of people trying to climb that one ladder

but in a meritocracy you cant blame the ladder or the other people trying to climb it nor can you blame the fact that all the good stuff is kept so many stories up instead of down at the ground where everyone can easily reach it no you must blame yourself you should have tread more carefully you should have climbed more quickly you should have used a firmer and more precise grip anticipated disasters and known just when to leap if you fail in a meritocracy its all your fault you should have tried harder better luck next time",11287.5,"[ 3.75613905e-02  4.46619317e-02 -6.44621439e-04  1.75905030e-03
 -1.23366714e-02  3.45872901e-03  4.69265645e-03  5.30449860e-03
 -1.05916820e-02  3.89109179e-03 -1.64253954e-02 -1.17932474e-02
  3.34826880e-03 -5.18410467e-03 -5.41645195e-03 -7.30330881e-04
  9.27686505e-03 -4.50295134e-04 -1.71150197e-04  1.56134879e-02
 -1.59791373e-02  4.20565391e-03  5.48912911e-03  1.69286355e-02
  8.39110508e-05  5.52109443e-03 -8.61847773e-03  1.40365073e-02
 -8.51085118e-04 -7.94791384e-04  5.75748505e-04 -3.81319155e-03
 -1.47042796e-03  4.53374768e-03 -7.75014563e-03 -9.74744000e-03
 -1.73277105e-03 -1.46265700e-03  4.61751455e-03 -9.34944768e-03
 -1.19260990e-03 -4.00391035e-03  3.19402642e-03  1.09297119e-03
 -2.05209688e-03 -4.79615852e-03 -2.55055353e-03  1.23943686e-02
  1.98890339e-03  4.68870532e-03 -1.01720204e-03  2.55871390e-04
 -2.05760240e-03  3.44716501e-03  7.11759436e-04  1.35371205e-03
  2.29919315e-04 -8.35596491e-03 -3.13260546e-03  2.74231401e-03
 -8.72364361e-03 -6.91353297e-03  1.08975466e-04 -2.51109852e-03
 -7.91292451e-03  6.38513651e-04  3.37959849e-03 -3.10494984e-03
  1.05876075e-02 -5.20954188e-03  1.26188825e-04 -1.38700963e-03
 -1.88472518e-03  4.19577165e-03 -4.43192752e-04  1.75967813e-03
 -5.68216201e-03 -6.66317297e-03  6.63002394e-03  2.79165059e-03
 -1.57153548e-03  1.90923933e-03 -3.80824960e-04  8.42947233e-03
 -3.66396341e-03 -5.89846214e-03 -1.17786811e-03  5.30959666e-03
  9.38444678e-03 -4.65707760e-03  4.31286264e-03  2.52587558e-03
  1.03108783e-03  4.41196840e-03 -3.05633130e-03 -4.96942434e-04
 -5.41463681e-03  7.17873592e-03  3.90612311e-03  2.43698503e-03]"
5.0,2019-08-19,"this movie is a gosh darn masterpiece it will make you belly laugh it will chill you to the bone and it will make you shed a tear this movie will stay with you long after the credits are over

if you plan on watching this movie avoid spoilers at all costs",1593.75,"[ 4.18315865e-02  5.48304245e-02 -1.37687027e-02 -1.19460458e-02
 -7.31311413e-03  1.14181731e-02 -1.66873704e-03  1.79190412e-02
 -8.23527668e-03  1.07177403e-02 -3.99596468e-02 -1.07113877e-02
  5.09352237e-03 -2.78793485e-03 -2.27416959e-03 -2.17312085e-03
  1.80555396e-02 -1.25031238e-02 -5.78517234e-03  1.14413006e-02
 -1.74820367e-02 -8.01370770e-04  1.41967628e-02  1.38267297e-02
 -1.05483737e-02  1.41910808e-02 -6.00671535e-03  3.77433351e-03
 -8.40643421e-03 -8.80361907e-03 -1.99578656e-03  3.46316397e-03
 -5.97260613e-03  1.22983882e-03 -2.16988800e-03  1.55925956e-02
  9.50267538e-03 -6.61366992e-03 -9.55360476e-03 -1.71746500e-02
  2.68348685e-05  8.15567933e-03 -7.31621496e-03  1.33697176e-02
 -2.24646889e-02 -3.68186971e-03  1.91480899e-03  1.69145688e-02
  5.02594095e-03  1.52897201e-02 -1.52537720e-02 -3.23263346e-04
  8.01212341e-03  2.90343654e-03 -2.60582217e-03 -1.01764351e-02
 -7.95858726e-03 -9.14922729e-03  3.60488845e-03 -7.77671766e-03
 -4.89149801e-03  1.79507630e-03  1.78678136e-03 -2.54794909e-03
 -1.04887374e-02 -1.61471143e-02 -4.64649545e-03 -5.11520833e-04
  2.14425894e-03 -2.11855937e-02  1.91989064e-04 -1.26776262e-03
 -5.25458576e-03 -7.25885201e-03 -4.01428295e-03 -2.30105221e-02
  2.39336258e-03  4.94990405e-03 -2.71661417e-03 -2.76405108e-03
 -1.10186385e-02 -1.36590551e-03 -1.16589004e-02  2.69620540e-03
 -1.46318357e-02 -7.52807129e-03 -1.25907725e-02  5.39263338e-03
  8.36238917e-03 -8.85005295e-03 -3.80534097e-03  1.52553199e-03
 -6.23175083e-03  5.38860913e-03  5.17686224e-03  5.26706805e-04
 -5.07781468e-03  1.53976083e-02 -4.03034361e-03  6.22913148e-03]"
4.5,2020-01-12,this is a well written and well perfomed original film with a lot of repetitive cinema these day i felt this was something new i felt connected and engaged with the character throughout the film there are several well directed tense moments throughout the film a popular topic of class struggled well portrayed its always nice to see foreign language films having worldwide success,1524.0,"[ 3.94276939e-02  4.69206460e-02 -9.03962273e-03  1.54578285e-02
  5.24514122e-03  8.21138173e-03  1.12747643e-02  3.58113582e-04
 -2.76091993e-02 -1.02474401e-02 -1.22836949e-02 -6.14769245e-03
  2.73082592e-03 -3.53710586e-03  2.03444320e-03  7.19975587e-03
  3.70559585e-03 -3.24211596e-03 -1.60680618e-02 -8.37877742e-05
 -3.62010347e-03  3.55486595e-03 -3.91972903e-03 -4.09933645e-03
  7.53484294e-03  6.90704864e-03 -4.89917677e-03  1.40874293e-02
 -2.12961808e-03 -2.96721212e-03 -4.15568287e-03  9.96981375e-03
 -5.60450193e-04 -4.25130362e-03  3.22248903e-04 -6.86325459e-03
  6.94407383e-03 -1.80077960e-03  2.17539654e-03 -9.31292120e-03
 -8.27763043e-03  9.63753927e-03  1.52264687e-03 -5.86785469e-03
  8.12163111e-04 -7.07863178e-03 -2.22553313e-03  6.36897096e-03
 -4.81871748e-03  1.79020073e-02 -1.19903730e-02 -4.17183479e-03
 -6.81715494e-04 -4.50016698e-03 -5.99680562e-03 -1.56859076e-03
  8.45486484e-03 -1.73297513e-03  9.08217765e-03  7.01792073e-04
  1.11802882e-02  1.52671419e-06  2.01926399e-02 -9.97091457e-03
 -9.50539485e-03 -7.43165496e-04 -1.48077204e-03  1.25745013e-02
  9.92624089e-03 -3.85979027e-03  4.78630245e-04  1.66136748e-03
 -6.63482584e-03 -1.12957992e-02 -5.16224187e-03  3.51345353e-03
 -1.27138989e-03  3.79330665e-03 -3.97947943e-03 -4.40142787e-04
  2.10051495e-03  1.20719885e-02  5.51492069e-03  5.92473196e-03
  4.50650509e-03  4.38591465e-03 -1.01936096e-02  1.34501858e-02
  8.13763961e-03  3.92598426e-03 -2.43159640e-03 -5.31837251e-03
 -2.06276588e-03  5.49413403e-03 -3.35246255e-03 -3.29238200e-03
 -6.09375816e-03  1.54088053e-03 -1.92423421e-03  1.22508779e-02]"
5.0,2020-02-04,the most original film of 2019 and it is wickedly funny and darkly disturbing all at the same time the narrative and the actors were excellent one of the better endings of a movie in quite a while class warfare at its best,1387.5,"[ 0.04510912  0.06301282 -0.00602977  0.02800689  0.00320187  0.00839046
  0.01208466  0.0001107  -0.02605942 -0.02644798 -0.02065826 -0.01037867
 -0.00465249  0.00178097 -0.00136327 -0.00290775  0.01031223 -0.0161655
 -0.00415768  0.01276422 -0.00608161 -0.00053625  0.00750917  0.00778202
  0.01787359  0.01110836 -0.00403508  0.0178106  -0.00815418  0.00786174
  0.00902661 -0.00055152 -0.00274056 -0.00304729 -0.00258997 -0.01095417
  0.00710898  0.00365876 -0.00229553 -0.01355463 -0.00986793  0.00456241
  0.00994579  0.00078095 -0.01301074 -0.00470286 -0.00064825  0.00870506
  0.01070028  0.00135122 -0.01633726 -0.00943789  0.00394786  0.01370272
  0.00265949  0.01099271  0.00950105 -0.00820922  0.00359208 -0.00149158
 -0.01459795  0.00353981  0.00222206 -0.01021992 -0.00634663 -0.00488061
 -0.00519276 -0.00542993  0.00111235 -0.00425518  0.0039021   0.00561287
 -0.00248085 -0.00799138 -0.00224856 -0.00200719  0.00553352 -0.00623993
 -0.00869981  0.00034612 -0.00645465  0.01517265  0.00810657  0.01086396
  0.01014995 -0.0055281   0.00202771  0.00321695  0.01846704  0.00124445
  0.00403893  0.00589738  0.00318507  0.01245723 -0.00706214 -0.01226632
 -0.00977411  0.00245532  0.00686573 -0.00351946]"
5.0,2019-08-19,well written and performed also technically shines cinematography  bgm are too good and theres not even a single lag its perfectly edited probably the best experience in recent times its pure art resembles the modern society the emotions they had shelved are insanely exceptional a layered masterpiece if you like dark thrillers then you shouldnt miss mr bong joonhos parasite definitely tops the list of best movies in 2019,2650.0,"[ 3.6075927e-02  3.7625294e-02 -6.3859853e-03  1.1130327e-02
  5.0308327e-03  2.4523241e-03  8.8312877e-03 -2.2298694e-03
 -9.0038329e-03 -4.1015940e-03 -9.3528321e-03 -1.9939002e-03
  7.8223087e-03  3.8338082e-03 -3.6716738e-03 -3.4897306e-04
 -3.3253981e-03 -1.4118751e-02 -5.2794749e-03  5.7814722e-03
 -1.1152339e-02 -5.7191984e-03  3.6668959e-03  1.1550378e-02
  9.3862070e-03  1.3636197e-02 -4.9113049e-03  3.5770542e-03
  3.9962637e-03 -4.6026795e-03 -3.7798402e-03  4.7714380e-03
  7.5431475e-03  1.3985126e-02  3.2197270e-03 -9.1646332e-04
  1.8707251e-03 -1.6233525e-03 -2.5055960e-03  6.6309558e-06
 -1.5050685e-03 -3.2930280e-04  2.9948733e-03  9.9124003e-04
 -5.1520579e-03 -3.4144474e-03 -1.3007359e-03  9.1035692e-03
  5.3433222e-03  2.1196278e-03 -1.9650324e-03 -9.1043365e-04
  1.6908650e-03  1.4919952e-03  6.0753087e-03 -3.5582092e-03
 -2.6703731e-03 -6.7108776e-04  1.2316081e-02  2.2090818e-03
  1.6846144e-04  4.8925621e-03  3.3714448e-03  6.7097936e-03
 -9.0017635e-03 -4.3353932e-03  4.9601891e-03  8.8817504e-04
 -3.7828421e-03 -5.6488271e-04 -2.9115230e-03  5.2270577e-03
 -5.0390754e-03  1.7744554e-03  2.6965645e-04  4.6344018e-03
 -2.3683077e-03  3.1269580e-04  4.5469892e-03  3.0435792e-03
  4.9257267e-04  6.7076326e-04  4.4131209e-03  1.0784871e-03
 -4.9388586e-03 -2.7989893e-04  4.2699319e-03  2.1551992e-03
  6.7995593e-04 -9.6268523e-03  3.0649719e-03  4.1758912e-03
  4.3915482e-03  2.5853887e-03 -7.1228836e-03 -1.6482681e-03
 -2.8535831e-03  1.8993849e-03 -5.0702416e-03  5.8962475e-03]"
4.5,2019-07-02,"as a film about a family imposing on another and keeping dark secrets hidden beneath the surface parasite achieves what jordan peele set out to do with us tell a multilayered story in a widely entertaining manner but without sacrificing the believability of its central narrative

thats not to say that us is an ineffective film by any means but when it comes to crafting weighty social commentaries under the guise of lighter fare writerdirector bong joonho is in a class of his own

the film follows a lowerclass south korean family as they slowly integrate themselves in the lives of an upperclass family and their lavish household as their entanglement is spun out of a web of deceit the lowly family find themselves skating on thin ice when it comes to keeping up appearances

its a twisty satire on socialeconomic disparities in south korean society that swings broadly in tone and sometimes threatens to tip over the edge but never feels less than meticulously calculated in its tonal shifts

however to reveal anything more about the story would be to take away from the overall experience as each act is marked by a major plot twist or revelation that keeps the film one step ahead of the viewer at all times go in blind if you can and expect an unforgettable ride",5092.0,"[ 3.8917661e-02  4.9524128e-02  5.0017843e-03  1.7011166e-02
 -8.4811850e-03  1.9126520e-02  9.6367793e-03  5.6084641e-03
 -1.2169723e-02 -2.5739055e-03 -2.3508521e-02 -7.6911841e-03
  3.0711961e-03 -3.9827353e-03 -2.2175498e-03  1.0109456e-03
 -3.0697626e-03  3.7510961e-03 -1.2057254e-04 -1.3652772e-03
 -4.5494055e-03 -2.2709654e-03  1.3415904e-03  2.9074152e-03
  1.0223015e-02  5.9403421e-04 -2.4198473e-03  1.0945192e-02
 -2.3323104e-03  1.5793015e-03  1.0678579e-02 -8.8773547e-03
 -3.0787566e-04  1.0783960e-03 -2.5518918e-03 -6.8671699e-03
  4.3653226e-03  5.9020747e-03 -1.2887579e-03 -5.7125520e-03
 -4.0741037e-03 -2.5762050e-04  6.8314085e-03  4.1766535e-03
 -1.0669244e-03 -5.1397169e-03  2.1953497e-04  4.8068576e-03
  2.4167623e-03  2.8498746e-03 -5.0536203e-03 -5.0018914e-03
  1.4370659e-03 -1.5217090e-03 -1.0468708e-04  4.7374275e-03
 -1.7636511e-04  5.1732003e-03  4.0417304e-03 -3.4657089e-04
 -1.5341846e-03 -5.0088231e-05  3.8893498e-03  2.1040119e-04
 -6.5380801e-04 -8.9101586e-04 -1.1511737e-03  1.2845219e-03
 -1.5656836e-03  4.5268051e-03 -3.0692827e-03  1.9729778e-03
 -1.2030730e-03  1.8896663e-03  4.7333344e-04 -2.5845524e-03
 -2.7352551e-03 -3.6500343e-03 -3.2527712e-03  1.9475903e-03
 -2.8504403e-03  4.9135471e-03  6.6266754e-03  6.3267970e-03
  6.1742347e-03  3.9244983e-03  5.6178384e-03  4.5418246e-03
  1.7889101e-02 -1.2367677e-04  5.7461867e-03  6.8495190e-04
 -2.0110726e-03 -3.0834451e-03 -4.5489678e-03 -2.1190622e-03
 -2.8304434e-03 -4.9921997e-05  6.2756767e-03  1.8998071e-03]"
3.0,2020-02-19,the film is interesting but thats about it the first hour was really slow the whole class thing seemed quite familiar im not sure why people are falling over themselves about this film maybe since it was korean yet with an accessible story and familiar film language that it suddenly moved westerners to see the light anyway the second half twists and turns struck me more as a wacky story line i would have seen on a soap opera back in the day like young and the restless or days of our lives overall im more critical of the critics than of the film i recommend seeing this its worth a look but all the oscars and best film of the decade stuff is incomprehensible,166.0,"[ 4.1213606e-02  5.0481565e-02 -7.8036063e-03  4.9683191e-03
 -2.8556345e-03  8.3087198e-03  8.9626210e-03  4.6356763e-03
 -1.9310178e-02 -1.4037169e-02 -1.7022071e-02 -5.4647261e-03
 -1.6153250e-03 -3.3560414e-03 -1.0089702e-03  5.1501133e-03
  8.9993171e-04  1.4437946e-03 -1.1545737e-02 -5.6292745e-04
  3.0125664e-03  1.9413872e-03 -3.2415667e-03 -6.7294796e-04
  7.4700313e-03  1.1320944e-04  2.5922838e-03  1.0183267e-02
  1.7607445e-03  6.1551444e-03  1.0251934e-02 -3.6384969e-03
  5.2911683e-04  2.0166931e-03  1.5020195e-03 -6.6671493e-03
  4.9676369e-03  6.4889416e-03 -5.9942571e-03 -1.5892731e-02
 -4.1431314e-03 -7.9941214e-04  1.8560297e-03  5.7398743e-04
  1.3313642e-04 -3.4558212e-03 -1.7211419e-04  2.2401705e-03
  4.1435007e-03  8.4185610e-03 -8.7744929e-03 -4.1197012e-03
 -1.3052296e-03  1.3311543e-03  5.2714958e-03  1.9413199e-05
  5.8274991e-03 -2.7301207e-03  5.3244177e-03 -2.4733152e-03
 -4.2733769e-03  2.9435062e-03  3.7872980e-03 -7.8267874e-03
 -1.1976645e-02 -2.6951067e-04  1.7894851e-03  1.8485507e-04
  2.1117583e-03  5.7782396e-04 -5.8162203e-03  3.3684599e-03
 -5.2034343e-03 -1.1487078e-02  1.2079624e-03 -5.3086313e-03
  4.5179790e-03 -2.1011627e-03 -5.3541539e-03 -1.0274840e-03
 -3.1365666e-03  9.4556512e-05  5.0962744e-03  8.0075124e-03
  1.0958968e-02 -1.3599226e-03 -3.3661060e-04  1.1964784e-02
  1.5491975e-02 -2.3276029e-04  5.0738002e-03 -2.1521857e-03
 -1.1758191e-03  3.0354471e-03 -5.6187008e-03 -4.1229078e-03
 -3.7661488e-03  3.2190538e-03 -1.3176322e-03 -1.6182325e-03]"
