rating,date,content,review_vector
4.0,2026.01.20,good twist however the first half dragged on,"[ 4.1062523e-02 -6.2736413e-03  1.3217020e-03 -3.2215426e-03
 -3.3927572e-05 -2.7273088e-03 -2.0628844e-03  3.3289116e-02
 -1.6980524e-03 -9.6896840e-03 -4.0178844e-03 -1.5569788e-03
  6.0789618e-03 -2.2633583e-05 -1.0044023e-03  1.1200251e-03
 -1.7688764e-02  6.8873856e-03 -1.2171394e-02 -4.3736007e-03
  3.7447240e-03  1.4242972e-03 -3.1499639e-03 -2.9861291e-03
 -1.3363932e-02  7.0731039e-03 -3.0664671e-03 -8.2330126e-03
 -1.1924398e-04  7.1432609e-03  1.2923960e-02 -2.4894029e-03
  6.0563264e-03  7.7377651e-03 -1.7178889e-02  9.5501589e-03
 -3.0830571e-02 -4.3059699e-06  1.4427722e-02  1.5976274e-02
 -4.8937150e-03  3.4584783e-02  1.6128115e-02  1.6234764e-03
  1.6043734e-02  2.2833955e-02  5.9974049e-03 -2.5780399e-03
  1.0387609e-03 -8.8600442e-03  5.3434274e-03  1.6169459e-02
  3.4013297e-04  4.6517607e-03 -1.3006551e-02 -3.5982607e-03
 -2.3528162e-02  1.7871212e-02 -2.6107766e-02  5.7332097e-03
 -7.4755214e-04 -5.0030854e-03  1.8374680e-02  8.9204563e-03
  9.0358518e-03  1.1916691e-02 -8.6260736e-03  7.6487418e-03
  5.2382234e-03 -7.6685883e-03  3.7037316e-03  7.6145278e-03
  1.2108106e-03  3.4440279e-02 -1.3494885e-02  1.9873718e-03
 -1.3376445e-02 -4.2419229e-03  7.0572244e-03  1.3722838e-03
  1.6981475e-02  3.9819181e-03  1.1801703e-02 -9.6605849e-03
 -1.5146864e-02 -3.8447999e-03  8.2580429e-03 -5.5660564e-03
  1.4864866e-02  6.2697316e-03  1.1624237e-02 -1.4522802e-02
 -3.9640302e-03 -2.4026301e-02  5.8015343e-03 -9.0225227e-03
  3.6261403e-03 -9.4497735e-03  1.7699532e-03 -2.3787294e-02]"
5.0,2026.01.17,foot on the gas from start to finish even with subtitles this movie kills it the climactic ending is one of one,"[ 5.19786365e-02 -1.03980321e-02 -1.53035973e-03 -3.38405441e-03
  4.11876099e-04  2.18886673e-03  2.84085545e-04  7.09966347e-02
 -1.68077229e-03 -3.77944089e-03 -4.82178619e-03 -1.03964191e-03
  7.77671160e-03  1.07786979e-03  6.82566175e-03 -3.98778729e-03
 -8.60891119e-03 -1.18032312e-02  1.73337627e-02 -1.89983740e-03
 -2.87965033e-03  2.22636815e-02  9.36127675e-04 -7.30130030e-03
  2.05055461e-03  2.00212244e-02  7.74645945e-03  1.16791120e-02
 -6.52616750e-03 -3.28770000e-03  8.98347422e-03 -5.78185730e-03
  6.09954726e-03  1.08734062e-02  1.28901936e-02 -6.90623512e-03
 -2.71158218e-02  2.31095590e-03  7.08109885e-03  4.12042066e-03
 -1.22788791e-02 -7.22675584e-04 -2.30038594e-02  7.55698513e-03
 -6.04491634e-03 -4.44363058e-03 -8.89885519e-03  6.94166915e-03
  4.16571088e-03 -5.94654540e-03  4.48009884e-03 -1.09726489e-02
 -1.50234634e-02  7.32433051e-04  5.51804900e-03 -1.01442235e-02
 -1.56774931e-02  1.55852465e-02  1.45625777e-03  1.13905966e-02
  3.36685427e-03 -1.12275896e-03  1.43126808e-02 -6.96746306e-03
  3.79585079e-03 -1.32640032e-02  1.53904324e-02  8.26596096e-03
 -9.13348980e-03 -3.83483316e-03 -1.69603955e-02  3.58213880e-03
 -1.06728775e-02  4.26408090e-03 -1.15235886e-02  8.04234296e-05
 -6.79773511e-03 -5.63711673e-03 -2.61611422e-03  1.67483985e-02
  1.13745295e-02  8.06088839e-03  1.35406153e-03 -1.39033189e-02
 -2.06453539e-02 -3.73523077e-03  9.92156565e-03  6.90958649e-03
  1.12107145e-02  1.20481765e-02  8.62219743e-03 -1.09328767e-02
 -7.74123846e-03  5.35357161e-04  2.95944000e-03 -1.44926729e-02
  9.84345749e-03  2.66631995e-03 -9.76763573e-03 -1.13883347e-03]"
4.5,2026.01.15,parasite leaves you with the feeling of having seen something truly different it starts almost like a game lowers your guard and gradually pulls you into something far darker one of its greatest strengths is how effortlessly it blends tones black comedy social satire and rising tension coexist without ever feeling forced the films use of space and visual contrasts adds as much meaning as the dialogue giving every scene a precise but never cold clarity bong joonho observes rather than judges letting the story speak for itself while pressing exactly where it hurts most its smart sharp uncomfortable and deeply entertaining not quite perfect but very close,"[ 4.1864462e-02 -5.8453870e-03  5.5630179e-04  1.3880135e-03
 -1.2128717e-03  1.8067935e-02 -2.8870027e-03  3.7932198e-02
 -2.5272788e-03 -5.9912675e-03 -4.3827854e-03  1.1326801e-03
  4.5267214e-05  1.8882809e-03 -1.8760316e-03  3.3237135e-05
 -2.6958596e-03 -1.5809867e-03  1.7526970e-03 -3.6946029e-04
  5.0978892e-04 -2.6442853e-03 -3.5331922e-03  4.2253811e-05
  2.6424606e-03 -8.5320789e-03  4.8830807e-03 -9.8080328e-04
 -4.8392650e-04  2.1904765e-03 -4.4033253e-03  4.2935526e-03
 -3.9026752e-04 -5.0392826e-03 -6.1329105e-03  3.1483427e-03
 -1.1022706e-02 -4.9339612e-03 -9.1066118e-03  1.6363399e-03
  2.7577279e-03 -7.2184680e-03  3.7948373e-03 -3.8913826e-03
  6.9015133e-03  1.2381196e-03  1.1245137e-02 -1.3329230e-03
 -5.7437835e-04  2.3377077e-03  3.6950870e-03 -1.4881679e-02
  5.3576268e-03 -1.1865913e-03 -5.7665268e-03 -8.8352244e-03
  6.2818313e-03 -3.1096891e-03  1.0663471e-03 -1.1670451e-03
  3.4574249e-03 -8.7654655e-04  4.8234914e-03 -4.7495980e-03
 -6.2062037e-03 -4.9897223e-03  3.3816064e-03  8.2622524e-03
 -8.5269315e-03  2.7916583e-03 -3.6948281e-03 -3.8138316e-03
 -3.1439040e-03  4.6079527e-04 -3.3425188e-03  5.4913587e-03
  8.7592462e-03 -2.9872330e-03  4.9872315e-03  2.8608029e-03
 -5.2171648e-03  4.4758734e-03  6.6697220e-03  1.4456640e-03
  1.7941556e-03  3.5523265e-03  4.3997532e-03 -2.4479609e-03
  9.3367847e-04  7.3518505e-04 -4.3709632e-03 -1.1395634e-02
 -4.6688323e-03 -6.1070602e-03 -1.7176525e-04  1.5808963e-03
 -2.2587784e-04  3.4085943e-03  1.0062538e-03 -6.2397621e-03]"
5.0,2026.01.12,an example of a perfect film,"[ 0.05852151 -0.00274775 -0.00119582  0.01856563  0.01561819  0.0341955
 -0.00484212  0.08655896 -0.00304253 -0.01468251 -0.0130757   0.01042505
  0.01898518  0.01019404  0.02156983 -0.01653545  0.0051881   0.01868639
  0.03493306  0.01305347  0.00607889  0.03428516  0.0133274   0.00329715
 -0.00324223 -0.00072778  0.04575361  0.01190155 -0.01551508 -0.0034679
  0.02038713 -0.01189887  0.00840003  0.00455522 -0.02338558 -0.009923
  0.02541724  0.00066999  0.00458153  0.0148029   0.00544655 -0.02237149
 -0.01490125  0.01681257  0.02361011  0.00640139 -0.00058004  0.01276796
  0.00232756 -0.01204802 -0.01177962 -0.00498326 -0.01914204  0.01408073
 -0.00246677  0.0040269   0.00684968 -0.01814036  0.00757196 -0.01084485
  0.02409579 -0.00865842  0.00845843  0.01386846  0.0261316   0.00306478
  0.00740157  0.0291343  -0.0159527   0.02489702 -0.02726564  0.01209904
 -0.00786743 -0.00092892 -0.00794396 -0.01081418 -0.00225289  0.0139177
  0.00161509  0.01104925  0.00677424 -0.01953594  0.0173212  -0.00794909
 -0.01430654  0.00101968 -0.02208848 -0.01393985 -0.0103545   0.00368859
  0.00610738  0.01450951 -0.01098926 -0.02007751  0.00512886  0.00171261
  0.02773536 -0.00601039  0.022854   -0.01857129]"
5.0,2026.01.11,is an absolute mustsee true harsh it hits you right in the face this movie explains and makes you understand so many sad existing realities of our world,"[ 4.50210087e-02 -8.73236451e-03 -1.46077317e-03  1.86316829e-04
 -2.42574286e-04 -3.54565069e-04  2.47132237e-04  5.11487089e-02
 -7.46963487e-04 -1.79991487e-03 -3.77653539e-03 -1.44911720e-03
  5.83333150e-03  6.53819006e-04 -6.49366574e-03 -1.32348267e-02
  1.34560959e-02  1.08573120e-02  2.32660603e-02 -4.14861541e-04
 -3.64195905e-03  2.77019180e-02  9.46030021e-03 -1.21364584e-02
 -3.46828671e-03  3.18483869e-03  6.51770411e-03  7.32363062e-03
 -5.94518264e-04 -4.61836439e-03  1.33226113e-02 -1.94461606e-02
  5.99935697e-03 -1.77329723e-02 -1.09980605e-03 -9.55430965e-04
  3.31054884e-03 -1.79243684e-02 -1.11429645e-02 -2.17692088e-03
 -4.30445047e-03  2.55808351e-03 -2.15308406e-04  3.11788567e-03
 -1.16519704e-02 -4.21556964e-04 -6.22693100e-04 -7.80909508e-03
 -5.60433511e-03  4.83019510e-03  9.17456578e-03 -5.55697735e-03
 -8.66984657e-04  1.09468400e-02  1.05542215e-02 -5.11613500e-04
 -1.48558486e-02  2.30126129e-03 -4.57750354e-03  4.03453177e-03
  1.51409879e-02 -1.98722072e-02  1.59073714e-02 -1.30138156e-04
 -4.47761500e-03  1.05504249e-03 -6.00725121e-04 -7.31056836e-03
 -9.65633895e-03  1.96641311e-03 -2.06733937e-03  7.24024838e-03
 -6.07214356e-03 -6.28682598e-03 -1.28271142e-02 -5.67201152e-03
  1.44354384e-02  1.99993188e-03 -8.04447191e-05  9.22007207e-03
  3.27302259e-03  2.05364032e-03  1.14233547e-03  2.58215657e-03
 -9.92345624e-04  3.04144435e-03  8.25956371e-03  4.43282770e-03
  1.44035066e-03 -3.30829923e-03 -5.43965492e-03 -7.25786621e-03
  5.78538561e-03 -1.06165500e-03 -2.85290810e-03 -1.25614367e-03
 -3.70091782e-03  1.06546748e-02 -5.60946064e-03 -1.08792847e-02]"
5.0,2026.01.09,timeless a tasteful inspiration,"[ 0.02455268  0.00446443  0.00348341 -0.00035941  0.00241903  0.01428026
 -0.00234388  0.03789133 -0.0015444  -0.01085795 -0.00152763  0.01033085
  0.01020221  0.01279952  0.01246977 -0.00183124 -0.01030963  0.01218699
  0.01402987  0.00515174  0.02067446  0.01751528  0.00986023  0.00526639
  0.0088025  -0.0333524   0.01359683 -0.00094117  0.00553128  0.01464165
 -0.00528234 -0.01177011 -0.00054133 -0.00658448 -0.02456809 -0.00623129
 -0.00197078  0.00042642  0.0067063  -0.00150074  0.01305428 -0.00528204
  0.01436915  0.00576914  0.02116806  0.00465423  0.01192985  0.01512564
 -0.00180351 -0.01048374 -0.01000193 -0.02861806 -0.00410294 -0.00403874
  0.00291176  0.00424323  0.02187185 -0.03319973 -0.00197778  0.01605981
 -0.01263101  0.00555044 -0.00807305 -0.01729315  0.03281085 -0.00124547
  0.00090903 -0.00241958 -0.00398224  0.00801033 -0.00821649  0.01547508
 -0.01302734  0.01186526  0.00418296 -0.00542505 -0.00198509  0.01064782
  0.00620542  0.00447021  0.01796631 -0.02090383 -0.00269653 -0.00295424
 -0.00268787  0.00941729 -0.00598073  0.02239817  0.00665088  0.00165975
 -0.00349671  0.01961071 -0.0233738  -0.00966065 -0.00756881  0.0024183
  0.01459048 -0.01872434  0.01898976 -0.00779675]"
5.0,2026.01.04,the good at face value the drama is very cartoony and almost sit com like its entertaining sure but its not what makes this movie so good what makes it so good is the layered messagingsymbolism hidden in so many scenes about classism acting is superb cinematography is great the twists and turns are all enticing and make you want to keep watching the director teases so many different directions the movie could take its done masterfully to keep you engaged and on your toes the entire time the bad some of the scenes are a little bit too cartoonyridiculous for my liking the father dragging himself across the room just looked bad he clearly did it for the suspense and drama but for me it just landed flat the other bad thing about this movie is that its not for everyone its a thinker movie thats why its not super mainstream it doesnt take away from the movie but its definitely a downside this is not a movie you turn on to be brainlessly entertained,"[ 0.05068892 -0.00767326  0.00083675 -0.00284562 -0.00023138 -0.00341137
  0.00023271  0.05889141 -0.00140564 -0.00827281 -0.00426008 -0.0020855
  0.00195653  0.00235423 -0.00062668 -0.00345496 -0.00695441  0.00922699
  0.00260869 -0.00015467  0.00303155  0.00975677  0.00585    -0.00309758
 -0.0031572  -0.00538765  0.00203261 -0.00040625  0.00282573 -0.0019006
  0.01006583 -0.01501375  0.00023313  0.00014852  0.00692485  0.0052384
 -0.0089886  -0.00459176  0.00307895 -0.00557185 -0.00724622  0.00438601
 -0.00830741  0.00197536  0.00461164  0.00346955  0.00612792 -0.00301735
  0.00222314  0.00066028 -0.00137551 -0.00496513 -0.00748059 -0.01088585
  0.00487517 -0.00954907 -0.0021646  -0.00708875 -0.00156075 -0.00237469
 -0.00332837 -0.00058137  0.00879215  0.00015838 -0.00312795  0.0018616
 -0.00698163 -0.00184637 -0.01083157 -0.00105461 -0.00580588 -0.00324132
 -0.00310424  0.00225928 -0.00721062 -0.00204883  0.00096034  0.00140442
 -0.00085638  0.00403493  0.00020499  0.00623593 -0.00221942  0.00063353
 -0.00488209  0.00817311  0.00437784  0.00193431  0.00728578  0.00681227
  0.00482963 -0.00322008  0.00212069 -0.01328902 -0.00091047  0.00290924
 -0.00523963 -0.00124046 -0.00223652 -0.00263169]"
5.0,2026.01.04,i didnt watch this film until well after it dominated at the academy awards much to my pleasant surprise it absolutely lived up to its reputation simply incredible and engaging,"[ 0.04819477 -0.00941268 -0.00189394 -0.00048941  0.00247766 -0.01536271
  0.00076696  0.05121541 -0.00129037 -0.01758928 -0.01205259 -0.00042332
  0.00538495 -0.00054678 -0.00198339  0.00410433 -0.01136607 -0.0065419
  0.00121357  0.00626555  0.00037322  0.01590002 -0.0103884  -0.00040601
  0.01032635 -0.0016481  -0.00191643 -0.01249243 -0.0057088  -0.00351883
  0.01652117 -0.01199613  0.00069635 -0.01407407  0.00585745  0.00472112
 -0.00447136  0.01153135 -0.00432299  0.00183822 -0.00373098  0.01076839
 -0.01143111  0.00070442 -0.00484475  0.00268159 -0.00703216  0.00083608
  0.00327656  0.00364779  0.01636105  0.01467797 -0.00730418 -0.00512315
 -0.01433641 -0.00282458  0.01388813  0.00314982  0.00102954 -0.00147308
 -0.00293029  0.00211689 -0.01509759 -0.00601186 -0.00702384 -0.01101807
 -0.00887247  0.00916543 -0.00532367 -0.00843296 -0.01351677 -0.00122426
 -0.00038075  0.01213612 -0.01303466 -0.00344523 -0.00932318 -0.00245808
  0.00472597  0.00066261  0.00340262  0.00590704  0.01022267 -0.01314156
 -0.00239698  0.01168357  0.00016059  0.00897911  0.00798211 -0.01691192
 -0.01061539 -0.01060865  0.01099353  0.00024007  0.00053072 -0.00628792
  0.00510452 -0.00181838 -0.01366282  0.0102145 ]"
1.5,2026.01.03,watched it because i saw it recommended on a horror site i follow it was definitely not horror in any way really disappointed,"[ 4.83998694e-02 -8.46319646e-03 -7.73851643e-04 -3.03377770e-03
 -1.53697663e-04 -2.34397054e-02  2.33386527e-03  5.09657376e-02
  1.44057255e-03 -1.35506326e-02 -6.12581754e-03 -1.58558821e-03
  5.42642130e-03 -2.13776293e-04 -1.08693205e-02  7.30126584e-03
 -1.39033962e-02 -3.39775550e-04 -7.56764552e-03  1.95434084e-03
  1.34781068e-02  1.02487653e-02 -6.90975459e-03 -5.01807745e-06
  1.04232142e-02 -1.61780231e-02  9.45099257e-03  5.19801211e-03
 -2.45421566e-03  7.48871453e-03 -3.16018646e-04 -7.47424830e-03
  1.72414798e-02 -1.08196642e-02 -8.35479517e-03 -1.73943937e-02
 -6.21305406e-03 -5.90717513e-03  1.61142368e-02  8.95589404e-03
  3.45011242e-03  5.25561348e-03  3.34788137e-03 -5.85393468e-03
 -7.72012630e-03 -6.11169206e-04 -3.84058827e-03  1.57987624e-02
  1.49996122e-02  1.66293252e-02  2.71083900e-05  8.92484654e-03
  8.84694699e-03  2.62800837e-03 -9.08816291e-04  8.32070131e-03
 -7.11268652e-03  1.11205420e-02 -1.41614135e-02  2.40991898e-02
 -6.55085733e-03 -6.58070145e-04 -2.45585223e-03  3.16240871e-03
  1.54685718e-03 -1.21946323e-04  1.34684909e-02 -6.31246297e-03
  1.91624388e-02  9.09508392e-03 -1.56599469e-02 -2.39890162e-02
 -1.45994965e-02 -4.86743590e-03  2.81667477e-03 -1.22797256e-02
  1.29127009e-02  1.86309672e-03  2.75334828e-02  8.89373198e-03
  5.47238532e-03  1.23483231e-02  1.82964858e-02 -1.44771289e-03
 -4.05772764e-04  2.28644665e-02  1.29256416e-02  2.89713684e-03
  1.07708964e-02 -7.44485902e-03  1.71522086e-03  7.08636362e-03
  4.50989325e-03 -7.97520019e-03  8.79930798e-03  1.05796158e-02
  5.33480151e-03  2.11287034e-03  7.11105252e-03  3.67082492e-03]"
1.0,2025.12.28,way over rated horrible acting and fake blood not worth it,"[ 0.03831344 -0.00781912 -0.00078214 -0.00349401 -0.00067989 -0.00584282
 -0.00093254  0.03721667  0.00072753 -0.01290283 -0.00564642 -0.00319111
  0.00711811  0.00094801  0.00260852  0.00397144 -0.02365192  0.00445365
 -0.01379703 -0.00987632  0.005167    0.00681073 -0.0016403  -0.00291454
 -0.00017876 -0.00359948 -0.00111756 -0.02049729 -0.01381799  0.00335741
  0.00877437 -0.01054157  0.00898506 -0.00960562  0.01319768  0.00185803
  0.00841382 -0.01005075  0.00373258 -0.00853069 -0.01096438 -0.01912626
 -0.00095428  0.01793646 -0.00655353 -0.00584552  0.00106801 -0.02285231
  0.00865754 -0.00625198 -0.01573888  0.00258482 -0.00472107  0.017251
  0.0197862  -0.00329398 -0.00924189 -0.01562787 -0.02040063  0.01623812
 -0.00181494 -0.00088733 -0.01364077 -0.02678722  0.00077847 -0.0050115
  0.01036784 -0.01583717  0.00062015  0.01517254 -0.01104525 -0.01566251
  0.0052714   0.00627444 -0.01372548  0.01165458  0.02138699 -0.01024496
  0.0073467  -0.00772207 -0.0246605   0.01346841 -0.0019989  -0.00037834
  0.00925184  0.02155198 -0.00405546 -0.00045331 -0.01342477 -0.01229236
 -0.01741331 -0.01442307  0.01615223 -0.01830655 -0.01214969  0.00826498
  0.00915229  0.00044401  0.03131857  0.00808213]"
