rating,date,content,review_vector
4.0,2019.10.06,"i cant remember the last time i saw a movie that contained as many genres as parasite the movie starts out almost like an oceans eleven heist film and then expands into a comedy mystery thriller drama romance crime and even horror film it really did have everything and it was strikingly good at all of them too

i love a film that respects its audience there are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats there are a lot of layers to this film and i suspect for this reason its rewatchability factor will be very high

the film was incredibly entertaining too i cant think of a boring scene in this movie and yet on the surface for large parts of the film you would say not a lot is happening at least in terms of action fascinating characters and brilliant dialogue are what create this i had a great time with parasite and i think most that give it a chance will too","[ 0.04623473  0.05903596 -0.00192008  0.00565017 -0.00555982  0.00724042
 -0.00728719 -0.003698    0.01259711  0.02318455 -0.0080348   0.00790934
 -0.00532869 -0.00065575 -0.00351317  0.0001778   0.00051548 -0.0131658
  0.01126441 -0.00626826 -0.00277179 -0.00412739 -0.00037536  0.0115345
 -0.01273223  0.00804578  0.00066357  0.01053816  0.00310338 -0.00109086
 -0.00540983 -0.00253852 -0.00032908  0.00269631 -0.00023846 -0.00308948
 -0.00843656 -0.0011493  -0.00250405 -0.00424385  0.00851403 -0.00292091
 -0.00319139 -0.00559963 -0.00125634  0.00596679  0.0014099   0.00514371
 -0.01207463  0.00481418  0.00561977  0.00402818 -0.00893932 -0.0033162
 -0.00401572  0.00104975 -0.0058758   0.00402712  0.00099913  0.00380336
 -0.00552257 -0.00391428 -0.00629834 -0.00068561  0.00562839 -0.00010981
 -0.00140816  0.00087553 -0.00488367  0.00058736  0.00115938  0.00047956
 -0.00239959 -0.00772841 -0.00059112 -0.00702374  0.00417169 -0.00110268
  0.00471666 -0.00243069  0.00365669 -0.00074645 -0.00057881 -0.00653564
 -0.00315548 -0.0029038   0.00359523  0.00099984  0.0017883  -0.00179397
 -0.00566345  0.00169668  0.00131423 -0.00136827 -0.00424342 -0.00402317
  0.00165004  0.00286274 -0.00129658 -0.00310061]"
5.0,2019.08.19,"this movie is a gosh darn masterpiece it will make you belly laugh it will chill you to the bone and it will make you shed a tear this movie will stay with you long after the credits are over

if you plan on watching this movie avoid spoilers at all costs","[ 4.40082587e-02  5.71236797e-02 -1.20556867e-02 -1.01299128e-02
 -2.92635453e-03  2.16618702e-02 -1.80517230e-02 -6.61475060e-05
 -5.00028394e-03  2.80747414e-02 -1.53413974e-02  4.53950837e-03
  1.55975930e-02 -8.93186126e-03 -5.02268644e-03 -2.22239029e-02
 -1.44746145e-02 -7.65262591e-03  1.56417559e-03 -1.71777382e-02
 -1.73593331e-02 -4.35934914e-03  6.36514975e-03  6.42938819e-03
 -3.53404973e-03 -6.39862800e-03 -1.72378905e-02  1.66265406e-02
  4.73407982e-03 -1.20614171e-02 -7.65010715e-03 -8.52271356e-03
 -8.66700988e-03 -1.62770599e-02  5.21841866e-04 -3.53330793e-03
 -4.22471296e-03 -3.27129080e-03 -1.55171324e-02 -2.07401719e-02
  1.37849217e-02 -8.36654846e-03  2.88380054e-03 -4.88087488e-03
  1.78542696e-02 -7.79980794e-04  2.77958415e-03  7.06756907e-03
 -1.53707750e-02  1.09380828e-02 -9.93262278e-04  2.57234741e-03
 -5.64862741e-03 -1.98601652e-03  1.81342417e-03  6.74254354e-03
 -2.06260718e-02  1.77671425e-02  6.75947929e-04  6.84536807e-03
 -1.34736951e-02 -1.82694215e-02  1.49281379e-02 -6.91455440e-04
  5.60724991e-04 -7.33317528e-03 -7.05895526e-03  5.69537980e-03
  3.09123890e-03  7.75029417e-03  1.89139406e-04  2.14152727e-02
 -3.75303999e-03 -7.50358077e-03  4.98243235e-03  1.87456538e-03
 -8.75293626e-04 -2.15697568e-03 -7.47730257e-03 -1.12887956e-02
  1.62434056e-02 -5.82305528e-03  6.78777788e-03 -7.29807653e-03
 -1.05647929e-02 -2.30677193e-03  5.13128412e-04  2.85059004e-03
 -1.20516811e-02  1.02615990e-02 -1.95848010e-02  7.12771062e-03
 -4.69661597e-03 -9.95108159e-04 -7.74555746e-03 -2.28520297e-03
  1.76900020e-03  1.01176687e-02 -5.89623989e-04  4.87135770e-03]"
4.5,2020.01.12,this is a well written and well perfomed original film with a lot of repetitive cinema these day i felt this was something new i felt connected and engaged with the character throughout the film there are several well directed tense moments throughout the film a popular topic of class struggled well portrayed its always nice to see foreign language films having worldwide success,"[ 4.1479878e-02  4.7766995e-02 -6.6659495e-04  1.6224910e-02
 -3.7256440e-03  2.6931025e-03  6.9147404e-03 -3.1076199e-03
  1.4728940e-02  2.6935866e-02 -7.8964503e-03  5.7709776e-03
 -1.0537626e-02  1.8406758e-03  1.2979028e-02  2.5006242e-03
 -5.1691416e-03 -1.0805575e-02  4.2690127e-03 -3.8312417e-03
 -1.6546530e-03 -1.4010248e-03 -8.5524758e-03  5.8586514e-03
 -7.5646476e-03  5.0627661e-04 -9.5145887e-04  2.8582935e-03
 -9.0828456e-04  8.2111442e-03 -7.7820485e-05 -5.3531746e-03
 -3.6997059e-03  2.1246406e-03  4.3100766e-03 -3.2680698e-03
 -2.9449994e-03 -8.6180627e-04  1.1429318e-02 -8.3897570e-03
 -2.5756808e-04  1.4255260e-03 -8.1121745e-03  5.0333240e-03
 -1.0640238e-03  9.3853250e-03  2.0033335e-02  1.4636250e-02
 -8.4848059e-03  8.1122490e-03  7.1692481e-03 -1.1745774e-02
  5.7501160e-03 -1.1694719e-02  5.4273088e-03 -1.2021217e-03
 -1.7767834e-02  9.6710790e-03  3.0111349e-03  5.6988983e-03
 -1.7850954e-02  5.2599525e-03 -8.8071721e-03  6.4873276e-03
  3.5381499e-03 -5.2548139e-03  9.5999119e-04 -1.1244774e-03
 -8.0483807e-03  1.8917313e-03  1.2779584e-02  9.5080957e-03
 -9.4936704e-03 -5.0643599e-03  8.5962582e-03  2.6426227e-03
 -7.8547848e-03 -5.8056572e-03  8.9594387e-03  1.3671292e-03
  1.5078539e-03  5.1578297e-04  5.4577435e-03 -5.3572661e-04
 -5.3576101e-03 -3.7536642e-04  1.5143666e-03  6.8167145e-03
  1.5694072e-03 -3.3941958e-03 -2.1304686e-03  8.0137989e-03
  3.8707890e-03  3.7816043e-03  8.8793284e-04 -4.3614418e-03
  2.6996736e-03  2.5277878e-03 -9.5258737e-03 -6.7200353e-03]"
5.0,2020.02.04,the most original film of 2019 and it is wickedly funny and darkly disturbing all at the same time the narrative and the actors were excellent one of the better endings of a movie in quite a while class warfare at its best,"[ 4.7807023e-02  6.5091923e-02  9.6757645e-03  2.7452782e-02
 -5.4194555e-03  5.1227571e-03  1.0122802e-03  9.7878568e-04
  3.0390143e-02  2.2467824e-02  2.9291981e-03  4.1097039e-04
 -6.7002792e-03 -1.4110938e-02  1.1888680e-03  7.4500088e-03
 -1.1674875e-03 -8.1579303e-03  1.0456363e-02 -4.6714116e-03
 -1.0449849e-02 -1.3165037e-02  5.4491134e-03  2.9222859e-02
 -1.1737849e-02  8.6317686e-03 -1.2092060e-02  2.2008318e-02
  4.1477620e-03 -2.4838881e-03 -8.2592443e-03  1.9856913e-03
 -6.8278597e-03 -2.2634724e-03 -1.1338983e-03  6.2641758e-03
 -1.7346682e-02  8.8475225e-03 -5.8915489e-04 -1.2361615e-02
  7.0374804e-03  3.2713490e-03  4.0862375e-04  1.0736878e-02
 -9.2011271e-03 -6.0830601e-03 -1.1970225e-02  4.7706449e-03
 -2.6459987e-03  1.6903382e-02  1.3601001e-02  6.1684013e-03
  5.4224017e-03 -7.0970352e-03  8.2879286e-04 -6.5336893e-03
 -1.0885435e-02  4.5302506e-03  8.9338487e-03  1.7607966e-02
 -5.6130691e-03 -8.2984576e-03  1.4179215e-03  2.8648996e-03
  5.9938165e-03 -4.9585938e-03  1.5315268e-03  1.6770426e-03
  3.9862134e-03  5.2925199e-05 -2.0189914e-03  1.1224434e-02
  1.3756407e-03 -4.6868310e-03 -1.1739767e-04 -1.2116726e-03
 -3.9516026e-03  6.1542452e-03  4.1303113e-03 -1.9109311e-02
  9.7223214e-04  5.3428881e-05  8.4726177e-03 -4.0150005e-03
  2.6443028e-03  7.2036852e-04 -3.0836577e-03  7.3002991e-03
  4.9789622e-03 -6.5641436e-03  3.0769526e-03  1.3078482e-02
  7.0016552e-03 -4.6584439e-03 -5.8848187e-03 -2.1057559e-02
 -1.6783838e-03  6.5228343e-03  2.5821344e-03 -4.4447985e-03]"
,2019.05.26,"parasite gisaengchung the 2019 film by bong joonho taps into the tensions caused by the widening gap between rich and poor around the world

the film delivering a strong social commentary that can be interpreted at a universal level follows two families on opposite sides of the social and financial totem pole it is a darkly entertaining and suspenseful look at a poor but incredibly cunning family living in a filthy basement and the rich park family the polar opposites of our protagonists the film makes you play a guessing game of which of the two families are the most rotten

winner of the palme dor at the 2019 cannes film festival parasite shows the extent to which we go to in order to live a comfortable life the devil is in the detail in this grotesque critique of social inequality and the psychology of money","[ 4.1855436e-02  5.5567238e-02  2.7334461e-02  1.4711336e-02
 -1.2287962e-02  2.1088459e-02  1.7278357e-03  1.6278977e-03
  1.8588148e-02  1.9461161e-02 -3.4357281e-03 -3.4478307e-03
 -8.2281372e-03 -1.4760847e-02 -3.0897951e-03  1.0346142e-04
  4.2924406e-03  1.5936402e-03  6.1204322e-03 -7.3970645e-03
 -1.0417770e-02 -1.3059981e-02  8.9719454e-03  1.8322298e-02
 -1.0320460e-02  1.2422602e-02 -2.1593277e-03  4.1436153e-03
 -3.3334037e-03  4.6456407e-04 -9.6691865e-03 -1.3008892e-03
 -1.0484626e-02 -6.0975808e-03 -5.2294647e-03  2.5125681e-03
 -8.6947829e-03  1.0688507e-02  3.7715642e-03 -4.7367164e-03
 -2.0079799e-03 -2.0763951e-03 -7.1010482e-03  3.8680722e-04
 -7.7004833e-03 -4.8514586e-03 -1.1182515e-03  7.5045554e-03
 -9.0247272e-03  1.4583824e-02  1.4248984e-02  1.9537443e-03
  1.0308620e-04 -8.7950723e-03  4.1071430e-04 -3.9217751e-03
 -3.6895741e-03 -2.4468096e-03  4.8312993e-04  3.9005370e-03
 -8.2032308e-03 -3.8546899e-03  5.3717755e-04 -1.4193389e-03
  3.2289755e-03 -6.7908233e-03 -8.1944990e-04  6.2930356e-03
  1.9250937e-03  1.9503369e-03  1.4423707e-03  6.6924519e-03
  6.4953294e-04 -8.5062124e-03 -4.8108441e-06 -6.1410414e-03
  2.4021759e-03  4.8406404e-03  3.3608708e-03 -6.3536651e-03
 -7.5447722e-03 -2.6295448e-03  6.1239731e-03  2.1291012e-03
  6.3904850e-03  4.7384584e-03 -4.9120197e-03  2.7494112e-03
  6.6769957e-03 -6.9993529e-03 -1.6881019e-03  7.2170710e-03
  7.1155378e-03  4.1399449e-03  2.8269012e-03 -1.1876230e-02
 -7.0291790e-03  9.3816612e-03 -4.9951412e-03 -5.0270734e-03]"
5.0,2019.08.19,well written and performed also technically shines cinematography  bgm are too good and theres not even a single lag its perfectly edited probably the best experience in recent times its pure art resembles the modern society the emotions they had shelved are insanely exceptional a layered masterpiece if you like dark thrillers then you shouldnt miss mr bong joonhos parasite definitely tops the list of best movies in 2019,"[ 0.03801133  0.03802746  0.00045589  0.01390962  0.0012454   0.00375699
  0.00602228 -0.00422779  0.00448858  0.00739832  0.00065014  0.01263084
 -0.00384723 -0.00569069  0.00133915 -0.00534534  0.00231123 -0.00167195
  0.00086292 -0.00979192 -0.00159162 -0.00480056  0.01317545  0.0101807
 -0.00180343  0.00473665 -0.00514877  0.01265552  0.0134419   0.00747364
 -0.00410009 -0.00895215 -0.00787621  0.00215261  0.00030073 -0.00596327
 -0.00746954  0.00145399 -0.00416602 -0.00010636 -0.00193119 -0.0038664
 -0.01393802  0.00109625 -0.00327553  0.00524084  0.00516225  0.00878558
  0.00273707  0.00889764  0.00114271 -0.00472046  0.00190249  0.00020629
  0.00373127  0.00652318  0.00370411  0.00878041  0.00662713  0.00047565
 -0.00548405 -0.00309914 -0.00316982  0.00397512  0.00458631 -0.00290475
 -0.00282592  0.00040991 -0.01097118 -0.00277013 -0.00272423  0.00672877
  0.00066268 -0.00110939  0.00154418 -0.00195097  0.00163094  0.00227323
 -0.00099288 -0.00314563 -0.0037761  -0.00913236 -0.00568088  0.00734341
  0.0034465   0.00015789 -0.01048029 -0.00395566 -0.00148747 -0.00901323
  0.00226696  0.0010582   0.00084508  0.00424861 -0.00390573 -0.00596348
 -0.00013053 -0.00319775 -0.00749757 -0.0019882 ]"
4.5,2019.07.02,"as a film about a family imposing on another and keeping dark secrets hidden beneath the surface parasite achieves what jordan peele set out to do with us tell a multilayered story in a widely entertaining manner but without sacrificing the believability of its central narrative

thats not to say that us is an ineffective film by any means but when it comes to crafting weighty social commentaries under the guise of lighter fare writerdirector bong joonho is in a class of his own

the film follows a lowerclass south korean family as they slowly integrate themselves in the lives of an upperclass family and their lavish household as their entanglement is spun out of a web of deceit the lowly family find themselves skating on thin ice when it comes to keeping up appearances

its a twisty satire on socialeconomic disparities in south korean society that swings broadly in tone and sometimes threatens to tip over the edge but never feels less than meticulously calculated in its tonal shifts

however to reveal anything more about the story would be to take away from the overall experience as each act is marked by a major plot twist or revelation that keeps the film one step ahead of the viewer at all times go in blind if you can and expect an unforgettable ride","[ 4.0454980e-02  4.9963146e-02  1.7893484e-02  8.9222128e-03
 -7.5492701e-03  1.9850805e-02 -9.7660162e-03 -7.6649049e-03
  8.1669521e-03  1.9424697e-02 -2.7059657e-03  3.3899231e-03
 -5.2699652e-03  3.4059128e-03  2.8778908e-03  2.3399589e-03
 -1.3477792e-03  3.4180200e-03  3.2130030e-03  3.5290422e-03
  3.1655701e-03 -5.9219091e-03  2.4447555e-03  8.4454808e-03
 -1.0057777e-02  1.3305807e-02 -4.2806282e-03  7.5136609e-03
 -9.7421638e-04  1.9245137e-03 -9.8160459e-03  6.5071620e-03
 -5.9348755e-03 -2.7939148e-04 -8.6960569e-03  6.9049341e-03
 -5.5711363e-03  4.7966372e-03  7.0774406e-03 -3.9075566e-03
 -7.9251925e-04 -5.9908308e-04 -1.3138650e-03 -2.9258332e-03
 -5.4093739e-03  2.6570493e-03 -1.0581994e-03 -1.3978950e-03
 -9.6174050e-04  4.3111867e-03  4.7796671e-03  4.0070363e-03
  1.3014252e-03 -5.2616135e-03 -1.9206261e-03 -1.0569898e-03
 -2.4029100e-03  1.5283535e-03  3.0773136e-04  2.7649803e-03
 -5.4298830e-03 -6.3298289e-03 -3.6463954e-03  7.1911502e-04
 -2.4237621e-04 -8.4823987e-04 -3.8865474e-03 -1.1071755e-03
  2.9578824e-03 -2.2559948e-03 -8.2388427e-04  4.9965084e-03
  9.0174773e-04 -3.6528441e-03  4.6186146e-04  2.7986618e-03
 -5.2710581e-03 -1.5294035e-03  3.5179927e-04 -5.2108960e-03
  1.0413397e-03 -2.4964635e-03  1.9795783e-05  9.9001906e-04
  3.4237816e-03 -1.6459248e-03 -5.8355974e-03  4.7409469e-03
  3.4100157e-03 -3.6497437e-03  4.1790358e-03  5.3098397e-03
  2.3393601e-03  3.3452816e-03  9.1890069e-03 -8.3506415e-03
 -2.3666660e-03  7.7787614e-03 -4.6184366e-03 -1.9180275e-03]"
3.0,2020.02.19,the film is interesting but thats about it the first hour was really slow the whole class thing seemed quite familiar im not sure why people are falling over themselves about this film maybe since it was korean yet with an accessible story and familiar film language that it suddenly moved westerners to see the light anyway the second half twists and turns struck me more as a wacky story line i would have seen on a soap opera back in the day like young and the restless or days of our lives overall im more critical of the critics than of the film i recommend seeing this its worth a look but all the oscars and best film of the decade stuff is incomprehensible,"[ 0.04387166  0.05249225  0.00100981  0.00417593 -0.0066362   0.00701477
 -0.0030155  -0.00237645  0.0175287   0.01761978 -0.00229031 -0.00258684
 -0.00897112 -0.00094063  0.00757748  0.00373554 -0.00137841 -0.00097134
  0.01044596  0.00391683  0.002112   -0.00744424 -0.00147207  0.00140047
 -0.01315702  0.00798458  0.00333723  0.0046369   0.00266517 -0.00063638
 -0.00068731 -0.000552    0.00102437 -0.00452624 -0.00133609  0.00633329
 -0.00977169  0.01142865  0.00549019 -0.01351567  0.00346447 -0.00567359
  0.00454394  0.00289165 -0.00364859  0.00168843 -0.00080788  0.00583906
 -0.00712969  0.00710658  0.0050592  -0.00112638 -0.00510946 -0.00869156
  0.00454332  0.00023278 -0.00799785  0.00286257 -0.00079134  0.01211747
 -0.00418824 -0.00218412 -0.00491928  0.00550392  0.00376612 -0.00344521
 -0.00047506  0.00022999 -0.00178581  0.00384114 -0.00162926  0.00733231
  0.00573665 -0.01233085  0.00293984  0.0051106  -0.00475751 -0.00139744
  0.00096237 -0.00542898  0.00291783 -0.00062822  0.00104527 -0.00306278
 -0.00727613 -0.00269949 -0.00158895  0.00459419  0.00366932  0.0037184
 -0.00147034  0.00532244  0.00171365  0.00043971 -0.0044414  -0.00188329
  0.00236512  0.0085756  -0.00021503 -0.00701223]"
5.0,2019.11.05,do you want to see a movie that will have your stomach in knots anxious during many scenes do you want to see a movie that will have you conflicted on who youre rooting for regardless of your answers see parasite parasite ticks along quietly until it is booming in your ears the symbolism varies sometimes it is obvious bong joonho might as well have made the subtitles spell it out but other times it is more subtle and you might realize a connection or symbolism days or weeks after bong joonho is a master at that the conversation that it sparks is worth the 1320 it costs to see the film parasite has made me think more than most films ive seen give it a watch see it with friends or family and the dinner table will have a conversation overflowing with opinions and realizations,"[ 4.33168523e-02  5.34609407e-02 -3.63431941e-03 -1.96113670e-03
  3.36214737e-03  2.07967702e-02 -1.01422034e-02 -3.97570711e-03
 -3.10403644e-03  2.36850549e-02 -1.38613721e-02 -2.69538694e-04
 -8.93104542e-03 -3.65984021e-03  3.29343323e-03 -2.63602147e-03
 -1.17517053e-03 -6.38837228e-04  3.54490778e-03 -7.00381910e-03
 -2.55298871e-03 -1.28869088e-02  1.10793281e-02  5.44033665e-03
 -6.32616039e-03  8.29161052e-03 -3.73639842e-03  1.29026556e-02
  1.26066152e-03  3.00979102e-03 -4.87576937e-03  8.05959851e-03
 -3.06655001e-03 -1.55259433e-04 -9.59402137e-03 -9.14197788e-03
  3.19274468e-03  1.82142830e-03  3.38135730e-03 -1.17629273e-02
  8.62021931e-03 -1.44687397e-02  4.43934317e-04  5.22814179e-03
 -1.19978061e-03 -4.86667966e-03  8.17404501e-03 -4.78707254e-03
 -1.23551311e-02  3.91715113e-03  6.18161226e-04 -4.20939736e-03
 -7.88551770e-05 -1.31840550e-03  2.04573548e-03  6.43062824e-03
 -5.85388904e-03 -9.52571398e-04  4.56129754e-04  2.75667338e-03
  1.61598751e-03 -1.12459362e-02  8.21253192e-03  2.32821214e-03
  3.79786972e-04  8.30131903e-05 -3.76167032e-03  5.48607262e-04
 -5.82765695e-03  7.23438221e-04  2.17789217e-04  1.00835925e-02
  1.45932939e-03 -1.51793321e-03 -3.45332990e-03 -4.32986883e-04
 -6.80042198e-03 -6.28883718e-03 -7.26843765e-03 -5.57850953e-03
  5.32474276e-03 -3.47473403e-03 -7.31732277e-03 -2.71025300e-03
 -8.19174387e-03 -4.65305801e-03  2.72701285e-03 -5.29849567e-05
 -3.85793624e-03  1.11746816e-02 -4.01712023e-03  5.79235796e-03
 -8.39562714e-03  7.52279442e-03 -3.34428274e-03 -9.87609942e-03
  2.95186159e-03  6.62032887e-03 -3.61878047e-05  3.04304017e-03]"
2.5,2020.02.27,there are a few suspenseful scenes and a decent plot along with comedic dialogue but thats it its not a metaphorical masterpiece that some critics and users are saying i feel as though too many people are trying to be expert critics like on that episode of south park where the entire town writes crazy yelp reviews for all the restaurants,"[ 0.04319026  0.0511027   0.0030835   0.00342905 -0.01208392 -0.00220818
  0.00418038 -0.00259264  0.00688231  0.01730995 -0.00575529  0.00053833
 -0.01401974 -0.00012378  0.00515657 -0.01297724  0.00582916 -0.00807574
  0.01128155  0.00049571  0.00545732 -0.01114744  0.00280055  0.00498416
 -0.00318554  0.00801169  0.00434868  0.00560057  0.00346106 -0.01582128
 -0.01196303  0.00142258 -0.0075475   0.00861402  0.0067341   0.00174259
 -0.00149104 -0.00156542  0.00949649 -0.00515717  0.01861153 -0.00628776
 -0.00065802 -0.01187477  0.00551451  0.00616424  0.00475827  0.00062655
  0.00060025  0.00230052  0.0123185  -0.00170841  0.00587738  0.00094579
 -0.00628663  0.00640489  0.00141217  0.00151704  0.00442398  0.00082128
  0.00120653 -0.00225674  0.00012653 -0.00398613 -0.00265451 -0.00021457
 -0.00460805  0.00482205 -0.01004608 -0.00760432 -0.00830881 -0.0043653
 -0.00092694 -0.00185413  0.00560238 -0.00314567 -0.00424888 -0.00434348
  0.00644801 -0.00623378  0.00730441  0.00719052  0.00553069 -0.0034908
  0.0001294   0.00302101 -0.00091661  0.0029563   0.00262153  0.0032717
  0.00251097  0.01044914 -0.00255287  0.00041921  0.00247336  0.00473156
  0.00140522 -0.0063322   0.00253017 -0.00887401]"
